Apr 28, 2026  11:10:47 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.10,   2.37E-009, 
 20.20,   1.82E-009, 
 20.30,   1.04E-009, 
 20.40,   4.87E-010, 
 20.50,   3.06E-010, 
 20.60,   2.26E-010, 
 20.70,   1.70E-010, 
 20.80,   1.48E-010, 
 20.90,   7.13E-011, 
 21.00,   1.99E-011, 
 21.10,   3.86E-011, 
 21.20,  -2.38E-011, 
 21.30,  -1.02E-010, 
 21.40,  -9.64E-011, 
 21.50,  -8.29E-011, 
 21.60,   1.29E-012, 
 21.70,   1.35E-010, 
 21.80,   2.07E-010, 
 21.90,   2.69E-010, 
 22.00,   2.93E-010, 
 22.10,   2.67E-010, 
 22.20,   2.07E-010, 
 22.30,   4.63E-011, 
 22.40,  -1.99E-011, 
 22.50,  -4.18E-011, 
 22.60,  -8.74E-011, 
 22.70,  -5.66E-011, 
 22.80,  -5.01E-011, 
 22.90,  -1.43E-010, 
 23.00,  -1.05E-010, 
 23.10,  -4.43E-011, 
 23.20,  -3.98E-011, 
 23.30,  -8.74E-011, 
 23.40,  -1.56E-010, 
 23.50,  -1.27E-010, 
 23.60,  -1.52E-010, 
 23.70,  -2.63E-011, 
 23.80,   9.00E-011, 
 23.90,   7.71E-011, 
 24.00,  -6.43E-012, 
 24.10,   5.27E-011, 
 24.20,   2.63E-011, 
 24.30,  -7.84E-011, 
 24.40,  -1.01E-010, 
 24.50,  -9.32E-011, 
 24.60,   3.47E-011, 
 24.70,   1.63E-010, 
 24.80,   2.26E-010, 
 24.90,   3.53E-010, 
 25.00,   4.20E-010, 
 25.10,   4.36E-010, 
 25.20,   3.06E-010, 
 25.30,   1.57E-010, 
 25.40,   1.02E-010, 
 25.50,   1.25E-010, 
 25.60,   5.44E-010, 
 25.70,   1.45E-009, 
 25.80,   2.29E-009, 
 25.90,   2.86E-009, 
 26.00,   3.01E-009, 
 26.10,   3.04E-009, 
 26.20,   2.50E-009, 
 26.30,   1.46E-009, 
 26.40,   9.24E-010, 
 26.50,   7.78E-010, 
 26.60,   1.40E-009, 
 26.70,   3.11E-009, 
 26.80,   5.04E-009, 
 26.90,   6.39E-009, 
 27.00,   7.26E-009, 
 27.10,   8.00E-009, 
 27.20,   8.08E-009, 
 27.30,   9.40E-009, 
 27.40,   1.68E-008, 
 27.50,   6.26E-008, 
 27.60,   3.29E-007, 
 27.70,   4.87E-007, 
 27.80,   5.71E-007, 
 27.90,   5.36E-007, 
 28.00,   4.91E-007, 
 28.10,   3.90E-007, 
 28.20,   1.06E-007, 
 28.30,   1.67E-008, 
