Apr 28, 2026  10:47:58 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   3.01E-009, 
 20.10,   2.76E-009, 
 20.20,   1.93E-009, 
 20.30,   9.06E-010, 
 20.40,   5.46E-010, 
 20.50,   3.35E-010, 
 20.60,   1.51E-010, 
 20.70,  -3.86E-011, 
 20.80,  -2.49E-010, 
 20.90,  -2.94E-010, 
 21.00,  -1.79E-010, 
 21.10,  -1.03E-010, 
 21.20,  -2.49E-010, 
 21.30,  -1.66E-010, 
 21.40,  -2.29E-010, 
 21.50,  -9.13E-011, 
 21.60,   7.58E-011, 
 21.70,   5.21E-011, 
 21.80,   4.89E-010, 
 21.90,   3.44E-010, 
 22.00,   4.27E-010, 
 22.10,   2.29E-010, 
 22.20,   1.41E-010, 
 22.30,  -7.13E-011, 
 22.40,  -2.04E-010, 
 22.50,  -3.77E-010, 
 22.60,  -2.76E-010, 
 22.70,  -2.76E-010, 
 22.80,  -4.11E-010, 
 22.90,  -4.25E-010, 
 23.00,  -3.98E-010, 
 23.10,  -4.39E-010, 
 23.20,  -2.65E-010, 
 23.30,  -4.90E-010, 
 23.40,  -4.07E-010, 
 23.50,  -1.35E-010, 
 23.60,  -2.50E-010, 
 23.70,  -1.36E-010, 
 23.80,  -2.31E-010, 
 23.90,  -4.28E-010, 
 24.00,  -2.87E-010, 
 24.10,  -1.98E-010, 
 24.20,  -3.61E-010, 
 24.30,  -2.17E-010, 
 24.40,  -6.81E-011, 
 24.50,  -1.72E-010, 
 24.60,  -1.74E-010, 
 24.70,  -3.53E-011, 
 24.80,  -1.35E-010, 
 24.90,   1.18E-010, 
 25.00,   3.08E-010, 
 25.10,   1.08E-010, 
 25.20,  -1.68E-010, 
 25.30,  -2.39E-010, 
 25.40,  -4.53E-010, 
 25.50,  -3.52E-010, 
 25.60,   3.75E-010, 
 25.70,   1.11E-009, 
 25.80,   2.01E-009, 
 25.90,   2.55E-009, 
 26.00,   2.64E-009, 
 26.10,   2.29E-009, 
 26.20,   1.69E-009, 
 26.30,   5.27E-010, 
 26.40,   3.05E-010, 
 26.50,   2.46E-010, 
 26.60,   7.14E-010, 
 26.70,   2.69E-009, 
 26.80,   4.29E-009, 
 26.90,   5.26E-009, 
 27.00,   6.20E-009, 
 27.10,   7.28E-009, 
 27.20,   8.15E-009, 
 27.30,   1.08E-008, 
 27.40,   2.06E-008, 
 27.50,   7.02E-008, 
 27.60,   3.73E-007, 
 27.70,   6.06E-007, 
 27.80,   7.16E-007, 
 27.90,   6.76E-007, 
 28.00,   6.41E-007, 
 28.10,   5.21E-007, 
 28.20,   1.80E-007, 
 28.30,   3.66E-008, 
 28.40,   1.48E-008, 
 28.50,   8.42E-009, 
 28.60,   8.67E-009, 
 28.70,   1.12E-008, 
 28.80,   1.45E-008, 
 28.90,   1.56E-008, 
 29.00,   1.57E-008, 
 29.10,   1.48E-008, 
 29.20,   9.93E-009, 
 29.30,   5.41E-009, 
 29.40,   4.74E-009, 
 29.50,   8.44E-009, 
 29.60,   3.07E-008, 
 29.70,   6.03E-008, 
 29.80,   8.25E-008, 
 29.90,   8.59E-008, 
 30.00,   8.35E-008, 
 30.10,   7.13E-008, 
 30.20,   3.69E-008, 
 30.30,   1.36E-008, 
 30.40,   6.25E-009, 
 30.50,   3.09E-009, 
 30.60,   2.14E-009, 
 30.70,   1.73E-009, 
 30.80,   1.87E-009, 
 30.90,   2.32E-009, 
 31.00,   2.45E-009, 
 31.10,   2.58E-009, 
 31.20,   2.28E-009, 
 31.30,   2.84E-009, 
 31.40,   4.46E-009, 
 31.50,   1.21E-008, 
 31.60,   4.98E-008, 
 31.70,   9.93E-008, 
 31.80,   1.30E-007, 
 31.90,   1.33E-007, 
 32.00,   1.26E-007, 
 32.10,   1.05E-007, 
 32.20,   4.76E-008, 
 32.30,   1.65E-008, 
 32.40,   7.50E-009, 
 32.50,   3.50E-009, 
 32.60,   1.91E-009, 
 32.70,   1.07E-009, 
 32.80,   7.25E-010, 
 32.90,   4.97E-010, 
 33.00,   4.63E-010, 
 33.10,   3.32E-010, 
 33.20,   1.34E-010, 
 33.30,  -2.63E-011, 
 33.40,   9.06E-011, 
 33.50,   2.03E-010, 
 33.60,  -1.48E-010, 
 33.70,  -1.80E-010, 
 33.80,  -2.19E-011, 
 33.90,   5.66E-011, 
 34.00,  -4.50E-011, 
 34.10,   1.15E-010, 
 34.20,  -1.68E-010, 
 34.30,  -3.22E-010, 
 34.40,  -3.90E-010, 
 34.50,   1.86E-010, 
 34.60,   8.23E-010, 
 34.70,   1.58E-009, 
 34.80,   2.38E-009, 
 34.90,   2.60E-009, 
 35.00,   2.79E-009, 
 35.10,   2.56E-009, 
 35.20,   1.26E-009, 
 35.30,   7.58E-010, 
 35.40,   5.66E-010, 
 35.50,   1.11E-009, 
 35.60,   3.76E-009, 
 35.70,   6.87E-009, 
 35.80,   9.64E-009, 
 35.90,   1.10E-008, 
 36.00,   1.09E-008, 
 36.10,   9.13E-009, 
 36.20,   4.99E-009, 
 36.30,   2.18E-009, 
 36.40,   1.24E-009, 
 36.50,   5.12E-010, 
 36.60,   5.12E-010, 
 36.70,   6.82E-010, 
 36.80,   7.72E-010, 
 36.90,   8.66E-010, 
 37.00,   9.92E-010, 
 37.10,   8.79E-010, 
 37.20,   3.18E-010, 
 37.30,  -4.82E-011, 
 37.40,  -1.12E-010, 
