Apr 28, 2026  10:41:57 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   1.12E-008, 
 20.10,   1.09E-008, 
 20.20,   7.51E-009, 
 20.30,   3.57E-009, 
 20.40,   1.71E-009, 
 20.50,   8.21E-010, 
 20.60,   2.96E-010, 
 20.70,   2.33E-010, 
 20.80,   1.79E-010, 
 20.90,   3.35E-010, 
 21.00,   1.20E-010, 
 21.10,   1.80E-011, 
 21.20,  -2.12E-011, 
 21.30,   8.35E-011, 
 21.40,  -4.05E-011, 
 21.50,  -3.08E-011, 
 21.60,   3.79E-011, 
 21.70,   2.99E-010, 
 21.80,   7.33E-010, 
 21.90,   1.17E-009, 
 22.00,   1.15E-009, 
 22.10,   1.00E-009, 
 22.20,   6.57E-010, 
 22.30,   2.96E-010, 
 22.40,   1.30E-010, 
 22.50,  -1.52E-010, 
 22.60,  -4.09E-010, 
 22.70,  -3.59E-010, 
 22.80,  -9.00E-011, 
 22.90,  -6.68E-011, 
 23.00,  -1.72E-010, 
 23.10,  -1.69E-010, 
 23.20,  -4.62E-010, 
 23.30,  -5.82E-010, 
 23.40,  -3.91E-010, 
 23.50,  -3.62E-010, 
 23.60,  -2.99E-010, 
 23.70,   7.71E-011, 
 23.80,   1.40E-010, 
 23.90,   3.12E-010, 
 24.00,   2.26E-010, 
 24.10,   1.43E-010, 
 24.20,  -1.23E-010, 
 24.30,  -2.28E-010, 
 24.40,  -2.02E-010, 
 24.50,  -1.92E-010, 
 24.60,   1.40E-010, 
 24.70,   3.29E-010, 
 24.80,   4.18E-010, 
 24.90,   7.47E-010, 
 25.00,   7.49E-010, 
 25.10,   7.53E-010, 
 25.20,   6.36E-010, 
 25.30,   2.79E-010, 
 25.40,   1.60E-010, 
 25.50,   3.59E-010, 
 25.60,   1.85E-009, 
 25.70,   4.61E-009, 
 25.80,   6.82E-009, 
 25.90,   8.10E-009, 
 26.00,   8.93E-009, 
 26.10,   9.35E-009, 
 26.20,   7.22E-009, 
 26.30,   3.83E-009, 
 26.40,   2.40E-009, 
 26.50,   2.64E-009, 
 26.60,   6.50E-009, 
 26.70,   1.44E-008, 
 26.80,   2.16E-008, 
 26.90,   2.87E-008, 
 27.00,   3.56E-008, 
 27.10,   4.46E-008, 
 27.20,   5.56E-008, 
 27.30,   8.52E-008, 
 27.40,   2.16E-007, 
 27.50,   8.46E-007, 
 27.60,   3.22E-006, 
 27.70,   4.77E-006, 
 27.80,   5.20E-006, 
 27.90,   5.62E-006, 
 28.00,   5.17E-006, 
 28.10,   4.58E-006, 
 28.20,   1.04E-006, 
 28.30,   7.76E-008, 
 28.40,   2.84E-008, 
 28.50,   1.77E-008, 
 28.60,   2.64E-008, 
 28.70,   4.62E-008, 
 28.80,   5.98E-008, 
 28.90,   6.82E-008, 
 29.00,   6.91E-008, 
 29.10,   6.49E-008, 
 29.20,   3.94E-008, 
 29.30,   1.65E-008, 
 29.40,   1.03E-008, 
 29.50,   1.34E-008, 
 29.60,   4.02E-008, 
 29.70,   7.99E-008, 
 29.80,   1.02E-007, 
 29.90,   1.15E-007, 
 30.00,   1.11E-007, 
 30.10,   1.03E-007, 
 30.20,   5.17E-008, 
 30.30,   1.80E-008, 
 30.40,   8.18E-009, 
 30.50,   4.80E-009, 
 30.60,   4.32E-009, 
 30.70,   5.61E-009, 
 30.80,   7.05E-009, 
 30.90,   8.17E-009, 
 31.00,   9.63E-009, 
 31.10,   1.20E-008, 
 31.20,   1.37E-008, 
 31.30,   1.88E-008, 
