Apr 28, 2026  10:38:11 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.10,   2.90E-009, 
 20.20,   2.49E-009, 
 20.30,   1.33E-009, 
 20.40,   7.13E-010, 
 20.50,   3.55E-010, 
 20.60,   5.40E-011, 
 20.70,  -1.44E-010, 
 20.80,   1.09E-011, 
 20.90,  -5.85E-011, 
 21.00,  -2.96E-011, 
 21.10,   3.08E-011, 
 21.20,  -8.93E-011, 
 21.30,  -1.99E-010, 
 21.40,  -2.28E-010, 
 21.50,  -1.81E-010, 
 21.60,  -1.09E-010, 
 21.70,   2.04E-010, 
 21.80,   3.37E-010, 
 21.90,   5.84E-010, 
 22.00,   6.33E-010, 
 22.10,   5.28E-010, 
 22.20,   3.67E-010, 
 22.30,  -1.09E-011, 
 22.40,  -5.01E-011, 
 22.50,  -1.64E-010, 
 22.60,  -2.94E-010, 
 22.70,  -3.06E-010, 
 22.80,  -2.20E-010, 
 22.90,  -1.96E-010, 
 23.00,  -5.40E-011, 
 23.10,  -1.21E-010, 
 23.20,  -2.37E-010, 
 23.30,  -2.13E-010, 
 23.40,  -5.46E-011, 
 23.50,  -6.23E-011, 
 23.60,   1.65E-010, 
 23.70,   1.61E-011, 
 23.80,  -8.03E-011, 
 23.90,   3.53E-011, 
 24.00,   7.46E-011, 
 24.10,   1.06E-010, 
 24.20,   3.86E-011, 
 24.30,  -1.97E-010, 
 24.40,  -2.89E-010, 
 24.50,  -1.98E-010, 
 24.60,   1.87E-010, 
 24.70,   5.05E-010, 
 24.80,   7.06E-010, 
 24.90,   6.56E-010, 
 25.00,   6.73E-010, 
 25.10,   5.77E-010, 
 25.20,   5.48E-010, 
 25.30,   4.66E-010, 
 25.40,   2.78E-010, 
 25.50,   1.88E-010, 
 25.60,   9.15E-010, 
 25.70,   2.16E-009, 
 25.80,   3.47E-009, 
 25.90,   4.41E-009, 
 26.00,   4.90E-009, 
 26.10,   4.91E-009, 
 26.20,   4.21E-009, 
 26.30,   2.18E-009, 
 26.40,   1.20E-009, 
 26.50,   8.68E-010, 
 26.60,   2.31E-009, 
 26.70,   6.67E-009, 
 26.80,   1.10E-008, 
 26.90,   1.43E-008, 
 27.00,   1.56E-008, 
 27.10,   1.58E-008, 
 27.20,   1.50E-008, 
 27.30,   1.23E-008, 
 27.40,   1.59E-008, 
 27.50,   3.70E-008, 
 27.60,   2.14E-007, 
 27.70,   4.72E-007, 
 27.80,   6.01E-007, 
 27.90,   5.97E-007, 
 28.00,   5.80E-007, 
 28.10,   4.95E-007, 
 28.20,   2.65E-007, 
 28.30,   5.27E-008, 
 28.40,   1.83E-008, 
 28.50,   9.29E-009, 
 28.60,   8.74E-009, 
 28.70,   1.31E-008, 
 28.80,   1.82E-008, 
 28.90,   2.13E-008, 
 29.00,   2.22E-008, 
 29.10,   2.10E-008, 
 29.20,   1.67E-008, 
 29.30,   9.33E-009, 
 29.40,   5.83E-009, 
 29.50,   6.54E-009, 
 29.60,   2.11E-008, 
 29.70,   4.94E-008, 
 29.80,   7.31E-008, 
