Apr 28, 2026  10:46:47 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   3.13E-009, 
 20.10,   3.28E-009, 
 20.20,   2.53E-009, 
 20.30,   1.31E-009, 
 20.40,   7.94E-010, 
 20.50,   4.87E-010, 
 20.60,   4.54E-010, 
 20.70,   3.91E-010, 
 20.80,   1.40E-010, 
 20.90,   1.21E-010, 
 21.00,  -7.71E-012, 
 21.10,  -8.42E-011, 
 21.20,  -2.82E-010, 
 21.30,  -1.29E-010, 
 21.40,  -3.22E-010, 
 21.50,  -1.52E-010, 
 21.60,   4.88E-011, 
 21.70,   2.83E-010, 
 21.80,   2.45E-010, 
 21.90,   4.90E-010, 
 22.00,   4.54E-010, 
 22.10,   3.72E-010, 
 22.20,   4.64E-010, 
 22.30,   1.66E-010, 
 22.40,  -1.29E-011, 
 22.50,  -5.14E-012, 
 22.60,  -5.98E-011, 
 22.70,  -1.03E-010, 
 22.80,  -2.37E-010, 
 22.90,  -2.10E-010, 
 23.00,  -3.57E-010, 
 23.10,  -4.58E-010, 
 23.20,  -5.24E-010, 
 23.30,  -4.35E-010, 
 23.40,  -2.72E-010, 
 23.50,  -2.19E-010, 
 23.60,  -1.25E-010, 
 23.70,   1.03E-011, 
 23.80,   2.37E-010, 
 23.90,  -3.53E-011, 
 24.00,  -1.77E-010, 
 24.10,  -3.02E-011, 
 24.20,  -1.90E-010, 
 24.30,  -3.16E-010, 
 24.40,  -4.06E-010, 
 24.50,  -2.60E-010, 
 24.60,  -3.14E-010, 
 24.70,  -1.09E-010, 
 24.80,   9.51E-011, 
 24.90,   2.64E-010, 
 25.00,   1.44E-010, 
 25.10,   5.49E-010, 
 25.20,   2.38E-010, 
 25.30,  -1.54E-011, 
 25.40,  -1.59E-010, 
 25.50,   1.26E-010, 
 25.60,   7.11E-010, 
 25.70,   1.45E-009, 
 25.80,   2.03E-009, 
 25.90,   2.57E-009, 
 26.00,   2.76E-009, 
 26.10,   2.79E-009, 
 26.20,   2.19E-009, 
 26.30,   9.54E-010, 
 26.40,   3.23E-010, 
 26.50,   4.41E-010, 
 26.60,   1.33E-009, 
 26.70,   3.05E-009, 
 26.80,   4.93E-009, 
 26.90,   6.14E-009, 
 27.00,   6.84E-009, 
 27.10,   7.37E-009, 
 27.20,   8.37E-009, 
 27.30,   1.10E-008, 
 27.40,   2.02E-008, 
 27.50,   6.00E-008, 
 27.60,   3.51E-007, 
 27.70,   6.25E-007, 
 27.80,   7.71E-007, 
 27.90,   7.28E-007, 
 28.00,   7.10E-007, 
 28.10,   5.92E-007, 
 28.20,   2.52E-007, 
 28.30,   4.63E-008, 
 28.40,   1.74E-008, 
 28.50,   9.28E-009, 
 28.60,   8.88E-009, 
 28.70,   1.18E-008, 
 28.80,   1.54E-008, 
 28.90,   1.69E-008, 
 29.00,   1.68E-008, 
 29.10,   1.58E-008, 
 29.20,   1.18E-008, 
 29.30,   6.50E-009, 
 29.40,   4.86E-009, 
 29.50,   7.57E-009, 
 29.60,   2.69E-008, 
 29.70,   5.80E-008, 
 29.80,   8.35E-008, 
 29.90,   8.83E-008, 
 30.00,   8.70E-008, 
 30.10,   7.59E-008, 
 30.20,   4.50E-008, 
 30.30,   1.66E-008, 
 30.40,   7.11E-009, 
 30.50,   3.61E-009, 
 30.60,   2.36E-009, 
 30.70,   2.31E-009, 
 30.80,   2.43E-009, 
 30.90,   2.59E-009, 
 31.00,   2.56E-009, 
 31.10,   2.65E-009, 
 31.20,   2.85E-009, 
 31.30,   2.95E-009, 
 31.40,   4.31E-009, 
 31.50,   1.07E-008, 
 31.60,   4.55E-008, 
 31.70,   9.80E-008, 
 31.80,   1.36E-007, 
 31.90,   1.41E-007, 
 32.00,   1.36E-007, 
 32.10,   1.16E-007, 
 32.20,   5.97E-008, 
 32.30,   1.96E-008, 
 32.40,   8.35E-009, 
 32.50,   4.26E-009, 
 32.60,   2.44E-009, 
 32.70,   1.62E-009, 
 32.80,   1.13E-009, 
 32.90,   8.24E-010, 
 33.00,   5.10E-010, 
 33.10,   5.72E-010, 
 33.20,   3.55E-010, 
 33.30,   2.22E-010, 
