,Gelbe Kugel,,
t,x,y,
4.260,4.552,-1.757
4.280,4.692,-1.775
4.300,4.815,-1.757
4.320,4.903,-1.810
4.340,5.008,-1.880
4.360,5.131,-1.933
4.380,5.272,-1.951
4.400,5.342,-1.968
4.420,5.430,-2.021
4.440,5.536,-2.056
4.460,5.694,-2.109
4.480,5.729,-2.109
4.500,5.817,-2.039
4.520,5.940,-2.144
4.540,6.063,-2.162
4.560,6.186,-2.197
4.580,6.256,-2.214
4.600,6.291,-2.214
4.620,6.520,-2.320
4.640,6.590,-2.320
4.660,6.695,-2.355
4.680,6.871,-2.390
4.700,7.012,-2.390
4.720,7.152,-2.425
4.740,7.223,-2.460
4.760,7.223,-2.460
4.780,7.311,-2.495
4.800,7.381,-2.513
4.820,7.451,-2.531
4.840,7.557,-2.548
4.860,7.680,-2.601
4.880,7.732,-2.601
4.900,7.873,-2.636
4.920,7.926,-2.654
4.940,7.996,-2.671
4.960,8.084,-2.706
4.980,8.172,-2.741
5.000,8.259,-2.759
5.020,8.382,-2.812
5.040,8.506,-2.829
5.060,8.611,-2.829
5.080,8.716,-2.882
5.100,8.804,-2.900
5.120,8.839,-2.917
5.140,8.910,-2.847
5.160,9.033,-2.900
5.180,9.121,-2.952
5.200,9.191,-2.952
5.220,9.261,-2.970
5.240,9.349,-3.023
5.260,9.454,-3.040
5.280,9.595,-3.093
5.300,9.683,-3.110
5.320,9.788,-3.146
5.340,9.876,-3.181
5.360,9.911,-3.233
5.380,9.859,-3.040
5.400,10.05,-3.198
5.420,10.05,-3.198
5.440,10.17,-3.251
5.460,10.23,-3.251
5.480,10.46,-3.286
5.500,10.53,-3.304
5.520,10.56,-3.321
5.540,10.63,-3.339
5.560,10.72,-3.409
5.580,10.74,-3.409
5.600,10.84,-3.444
5.620,10.79,-3.427
5.640,10.79,-3.427
5.660,10.93,-3.462
5.680,11.00,-3.480
5.700,11.05,-3.497
5.720,11.12,-3.515
5.740,11.19,-3.532
5.760,11.35,-3.585
5.780,11.41,-3.603
5.800,11.48,-3.655
5.820,11.55,-3.690
5.840,11.56,-3.708
5.860,11.67,-3.743
5.880,11.70,-3.761
5.900,11.76,-3.761
5.920,11.84,-3.761
5.940,11.90,-3.796
5.960,11.95,-3.849
5.980,12.00,-3.866
6.000,12.07,-3.919
6.020,12.09,-3.936
6.040,12.20,-3.972
6.060,12.23,-4.007
6.080,12.27,-4.024
6.100,12.34,-4.024
6.120,12.39,-4.077
6.140,12.46,-4.112
6.160,12.42,-3.901
6.180,12.51,-4.007
6.200,12.55,-4.007
6.220,12.65,-4.007
6.240,12.74,-4.007
6.260,12.79,-4.059
6.280,12.85,-4.112
6.300,12.88,-4.130
6.320,12.93,-4.130
6.340,13.04,-4.165
6.360,13.11,-4.182
6.380,13.16,-4.200
6.400,13.22,-4.200
6.420,13.29,-4.200
6.440,13.34,-4.218
6.460,13.41,-4.253
6.480,13.46,-4.270
6.500,13.46,-4.270
6.520,13.48,-4.323
6.540,13.48,-4.323
6.560,13.64,-4.358
6.580,13.65,-4.358
6.600,13.67,-4.358
6.620,13.81,-4.393
6.640,13.81,-4.393
6.660,13.92,-4.446
6.680,13.97,-4.464
6.700,13.97,-4.464
6.720,14.02,-4.464
6.740,14.08,-4.499
6.760,14.15,-4.516
6.780,14.18,-4.516
6.800,14.22,-4.516
6.820,14.25,-4.516
6.840,14.30,-4.534
6.860,14.39,-4.552
6.880,14.45,-4.569
6.900,14.48,-4.587
6.920,14.55,-4.622
6.940,14.60,-4.639
6.960,14.67,-4.657
6.980,14.73,-4.675
7.000,14.80,-4.710
7.020,14.81,-4.710
