"Time","Channel A"
-100.08209938,4.87258530
-100.04209938,4.87258530
-100.00209938,4.96108913
-99.96209938,4.96108913
-99.92209938,4.96108913
-99.88209938,4.96108913
-99.84209938,4.96108913
-99.80209938,4.96108913
-99.76209938,4.96108913
-99.72209938,4.87258530
-99.68209938,4.96108913
-99.64209938,4.96108913
-99.60209938,4.96108913
-99.56209938,4.96108913
-99.52209938,4.96108913
-99.48209938,4.87258530
-99.44209938,4.87258530
-99.40209938,4.87258530
-99.36209938,4.96108913
-99.32209938,4.96108913
-99.28209938,4.96108913
-99.24209938,4.96108913
-99.20209938,4.96108913
-99.16209939,4.96108913
-99.12209939,4.96108913
-99.08209939,4.96108913
-99.04209939,4.87258530
-99.00209939,4.96108913
-98.96209939,4.96108913
-98.92209939,4.96108913
-98.88209939,4.96108913
-98.84209939,4.96108913
-98.80209939,4.96108913
-98.76209939,4.96108913
-98.72209939,4.96108913
-98.68209939,4.87258530
-98.64209939,4.96108913
-98.60209939,4.96108913
-98.56209939,4.96108913
-98.52209939,4.96108913
-98.48209939,4.96108913
-98.44209939,4.96108913
-98.40209939,4.96108913
-98.36209939,4.96108913
-98.32209939,4.96108913
-98.28209939,4.96108913
-98.24209939,4.96108913
-98.20209939,4.96108913
-98.16209939,4.96108913
-98.12209939,4.96108913
-98.08209939,4.96108913
-98.04209939,4.96108913
-98.00209939,4.96108913
-97.96209939,4.96108913
-97.92209939,4.96108913
-97.88209939,4.96108913
-97.84209939,4.96108913
-97.80209939,4.96108913
-97.76209939,4.96108913
-97.72209939,4.96108913
-97.68209939,4.96108913
-97.64209939,4.96108913
-97.60209939,4.87258530
-97.56209939,4.87258530
-97.52209940,4.96108913
-97.48209940,4.96108913
-97.44209940,4.96108913
-97.40209940,4.96108913
-97.36209940,4.87258530
-97.32209940,4.96108913
-97.28209940,4.96108913
-97.24209940,4.96108913
-97.20209940,4.96108913
-97.16209940,4.96108913
-97.12209940,4.96108913
-97.08209940,4.96108913
-97.04209940,4.96108913
-97.00209940,4.96108913
-96.96209940,4.96108913
-96.92209940,4.96108913
-96.88209940,4.96108913
-96.84209940,4.96108913
-96.80209940,4.96108913
-96.76209940,4.96108913
-96.72209940,4.96108913
-96.68209940,4.96108913
-96.64209940,4.96108913
-96.60209940,4.96108913
-96.56209940,4.96108913
-96.52209940,4.96108913
-96.48209940,4.87258530
-96.44209940,4.96108913
-96.40209940,4.96108913
-96.36209940,4.96108913
-96.32209940,4.96108913
-96.28209940,4.96108913
