"Time","Channel A"

-50.20605386,5.04989767
-50.12605386,5.04989767
-50.04605386,5.04989767
-49.96605386,5.04989767
-49.88605386,5.04989767
-49.80605386,5.04989767
-49.72605386,5.04989767
-49.64605386,5.04989767
-49.56605386,5.04989767
-49.48605386,5.04989767
-49.40605386,5.04989767
-49.32605386,5.04989767
-49.24605386,5.04989767
-49.16605386,5.04989767
-49.08605386,5.04989767
-49.00605386,5.04989767
-48.92605386,5.04989767
-48.84605386,5.04989767
-48.76605387,5.04989767
-48.68605387,5.04989767
-48.60605387,5.04989767
-48.52605387,5.04989767
-48.44605387,5.04989767
-48.36605387,5.04989767
-48.28605387,5.04989767
-48.20605387,5.04989767
-48.12605387,5.04989767
-48.04605387,5.04989767
-47.96605387,5.04989767
-47.88605387,5.04989767
-47.80605387,5.04989767
-47.72605387,5.04989767
-47.64605387,5.04989767
-47.56605387,5.04989767
-47.48605387,5.04989767
-47.40605387,5.04989767
-47.32605387,5.04989767
-47.24605387,5.04989767
-47.16605388,5.04989767
-47.08605388,5.04989767
-47.00605388,5.04989767
-46.92605388,5.04989767
-46.84605388,5.04989767
-46.76605388,5.04989767
-46.68605388,5.04989767
-46.60605388,5.04989767
-46.52605388,5.04989767
-46.44605388,5.04989767
-46.36605388,5.04989767
-46.28605388,5.04989767
-46.20605388,5.04989767
-46.12605388,5.04989767
-46.04605388,5.04989767
-45.96605388,5.04989767
-45.88605388,5.04989767
-45.80605388,5.04989767
-45.72605388,5.04989767
-45.64605388,5.04989767
-45.56605388,5.04989767
-45.48605389,5.04989767
-45.40605389,5.04989767
-45.32605389,5.04989767
-45.24605389,5.04989767
-45.16605389,5.04989767
-45.08605389,5.04989767
-45.00605389,5.04989767
-44.92605389,5.04989767
-44.84605389,5.04989767
-44.76605389,5.04989767
-44.68605389,5.04989767
-44.60605389,5.04989767
-44.52605389,5.04989767
-44.44605389,5.04989767
-44.36605389,5.04989767
-44.28605389,5.04989767
-44.20605389,5.04989767
-44.12605389,5.04989767
-44.04605389,5.04989767
-43.96605389,5.04989767
-43.88605389,5.04989767
-43.80605390,5.04989767
-43.72605390,5.04989767
-43.64605390,5.04989767
-43.56605390,5.04989767
-43.48605390,5.04989767
-43.40605390,5.04989767
-43.32605390,5.04989767
-43.24605390,5.04989767
-43.16605390,5.04989767
-43.08605390,4.96108913
-43.00605390,5.04989767
-42.92605390,5.04989767
-42.84605390,5.04989767
-42.76605390,5.04989767
