0_x,0_y
1.051063,2.498026
3.320164,2.892652
5.260410,2.136285
7.726824,2.662454
9.732841,2.629568
12.330797,2.070514
14.599898,3.517477
16.770342,3.385935
19.302527,4.109417
21.177002,4.964440
23.873614,5.753693
25.682318,7.562396
28.181617,9.930154
30.516489,12.166369
32.752705,15.158951
35.120462,19.335413
37.553991,24.268241
39.494236,30.911116
41.861994,38.178816
44.065324,46.400195
46.400195,56.200080
48.767953,65.506682
51.300138,75.372338
53.470582,84.350084
55.805454,94.511709
58.074555,104.476020
60.113457,114.012820
62.481214,123.549619
64.618773,133.119303
66.953645,141.932620
69.321402,150.976135
71.524732,159.822337
73.629405,167.714859
75.931392,176.232205
78.364920,184.716665
80.535364,192.378987
82.771579,197.969522
84.942023,208.427111
87.079582,216.220974
89.545996,224.902745
91.683554,232.762378
94.018426,239.799873
96.221756,248.481642
98.753940,255.453366
100.858613,262.786829
103.061943,271.106856
105.298158,277.914151
107.600144,285.346269
109.606161,293.633409
111.973918,300.407817
114.111476,307.807048
116.249035,316.127072
118.649677,321.914914
120.655693,329.840311
123.122107,338.061676
125.325436,343.750860
127.528766,351.676255
129.995179,359.305680
132.198508,365.093519
134.368952,373.545079
136.309197,379.464459
138.512527,386.501944
140.715856,395.545439
142.984956,401.300390
145.188285,408.272102
147.523157,416.592115
149.594944,422.116867
151.896929,430.108024
153.968717,436.915306
156.435130,442.374285
158.408260,451.253346
160.611589,456.909636
163.308201,463.157863
165.051133,471.740953
167.386004,477.528783
169.490676,484.072976
171.726891,492.688948
174.226189,498.147923
176.133548,505.152509
178.336877,513.669822
180.507320,518.668399
182.776420,526.593773
184.848207,534.190293
187.347505,539.221753
189.386406,547.771946
191.655506,554.612099
194.089033,559.643558
196.095049,568.226633
198.035293,574.573504
200.534591,580.229782
202.869462,589.865184
205.007019,594.929524
207.144577,600.914653
209.380791,609.596377
211.518348,614.825141
214.017646,621.599515
215.892119,629.590644
218.226989,635.115374
220.463203,641.889744
222.798073,649.847984
224.508119,654.254612
227.007417,661.883997
229.013432,668.625479
231.414073,675.038106
233.584515,681.384962
236.182469,688.389523
238.320026,694.506180
240.293156,701.609394
242.364941,708.416639
244.634040,714.631949
246.705826,721.439192
248.876268,728.345090
251.145367,734.560397
253.546008,741.170325
255.552022,747.911794
257.525151,754.357294
259.761365,761.000104
261.734494,767.478488
264.069363,773.891099
266.470003,780.698332
268.476018,787.275367
270.942429,793.523550
272.093421,800.396549
269.561239,794.871842
266.700202,786.025731
263.806279,778.297714
261.043898,770.240843
258.741914,761.723579
255.815106,754.094212
253.118496,745.642714
250.520543,737.816034
247.988360,729.693384
245.390407,721.800930
242.595140,713.809818
240.095843,705.917361
237.300576,698.024902
234.867049,690.198212
232.334867,682.897684
229.605371,675.827353
227.434928,666.422165
224.343692,659.253175
221.877279,652.610348
219.509524,643.566894
217.075997,636.891180
214.774012,629.097364
211.880089,621.106235
209.315020,614.430518
207.045920,606.340730
204.250653,598.481139
201.784240,591.739647
199.350713,582.827723
196.654102,575.757376
194.253461,567.996436
191.918590,560.038182
189.682376,552.079927
187.314620,545.009576
184.716665,537.084205
181.954283,528.665551
179.553641,521.792509
177.152999,513.768478
174.653701,505.875987
172.285944,498.509662
170.115501,490.978908
167.484660,483.513925
165.149789,475.588544
162.584720,467.893361
160.052536,460.691458
157.816321,453.292241
155.251251,445.794368
153.179464,437.868983
151.173448,430.995931
148.115096,422.708804
145.813110,416.427688
143.313811,407.976133
140.978940,399.524577
138.512527,392.815948
136.309197,385.054984
134.072983,376.767853
131.672340,370.651160
129.074385,360.949953
126.772399,354.339977
124.207329,347.236719
121.806686,338.291874
119.702014,332.043637
117.268485,323.394760
115.065156,315.272050
112.763170,308.497643
110.296756,300.144733
107.896114,291.331426
105.495471,285.313384
103.226371,275.776595
100.694186,267.653881
98.688169,261.964692
96.287527,252.986954
93.853998,244.140758
91.683554,237.958286
89.250026,228.026867
86.849383,220.068577
84.382970,212.800882
82.179640,203.296973
79.844768,195.963507
77.477011,188.169643
75.339452,178.205335
72.873038,171.036295
70.439510,161.499498
68.269066,152.192899
65.934194,144.497690
63.730864,134.829349
61.593305,125.325436
59.028235,115.657095
56.594707,105.824326
54.325606,95.662702
51.957848,84.974909
49.754518,75.734078
47.452532,65.638224
44.854576,55.147744
42.782788,46.005569
40.645230,37.258021
38.244587,30.088978
35.811058,24.662867
33.410415,19.466955
30.878230,15.323379
28.707786,12.199255
26.372914,9.009359
24.169584,7.759709
21.867598,5.326181
19.401184,4.536928
17.395167,3.747676
14.895867,2.859767
12.232140,3.057080
9.897268,2.267828
7.759709,2.695339
5.589265,2.629568
3.089966,2.596683
1.051063,2.333599
-1.316694,2.465141
-3.815994,1.379918
-5.986438,1.807430
-8.321310,1.675888
-10.787724,2.432255
-12.991054,3.024194
-15.556124,1.314147
-17.627912,2.004743
-19.897013,1.774545
-22.429198,0.787979
-24.862726,1.314147
-27.197598,-0.560327
-29.269386,-1.020724
-31.768685,-2.073061
-33.840473,-4.473704
-36.405544,-7.564943
-38.641759,-11.050808
-40.976631,-18.285622
-43.640358,-25.421780
-45.613489,-35.188779
-47.915475,-51.763081
-50.118805,-55.906656
-52.420791,-66.693105
-54.722777,-77.446669
-57.254962,-86.523071
-59.359635,-97.572604
-61.990476,-107.471143
-64.095149,-115.462322
-66.397136,-125.722601
-69.093748,-134.207062
-71.033993,-142.855950
-73.500407,-153.214884
-75.637966,-160.712779
-78.005723,-169.098582
-80.077510,-178.240751
-82.642580,-185.738644
-84.944566,-194.420415
-87.147896,-203.102185
-89.449882,-210.435650
-91.817639,-218.591252
-93.922312,-226.812623
-96.125641,-234.442056
-98.756482,-242.170144
-100.926926,-250.654598
-103.491996,-257.922289
-105.728211,-265.814803
-108.063082,-273.707317
-109.871785,-280.975006
-112.535511,-288.834633
-114.640184,-296.595603
-117.007941,-302.712299
-119.145499,-311.591373
-121.677683,-318.924830
-123.913898,-325.501921
-126.182998,-333.328658
-128.189014,-339.774206
-130.688313,-347.798255
-132.990298,-355.329021
-135.193627,-363.188641
-137.627155,-369.930155
-139.962026,-378.480368
-142.165355,-385.090339
-144.565997,-391.733195
-146.604898,-399.987436
-149.202853,-406.465863
-151.307525,-414.259707
-153.576625,-422.185091
-155.977267,-428.499089
-158.180595,-435.174826
-160.449695,-444.020999
-162.784566,-449.874599
-165.053665,-457.668437
-167.355650,-465.297847
-169.723406,-471.743383
-171.762307,-479.241250
-174.228720,-485.851210
-176.464934,-493.250419
-178.668262,-500.649627
-180.937362,-508.048834
-183.403774,-515.645352
-185.475560,-522.025110
-187.810430,-529.194117
-190.276843,-536.297352
-192.217087,-543.400585
-194.749270,-550.602474
-196.985484,-557.968789
-199.451896,-564.611625
-201.819651,-571.418887
-203.957208,-578.324803
-206.094765,-585.625343
-208.495406,-592.662799
-210.731620,-599.206974
-212.934947,-606.211543
-215.368474,-612.887258
-217.506030,-619.793168
-220.038213,-626.731963
-222.537510,-633.999610
-224.510639,-640.543779
-226.812623,-647.548341
-229.180378,-654.783099
-231.482362,-661.162839
-233.652804,-668.726447
-235.954788,-675.435037
-238.289658,-681.946314
-240.558756,-689.279722
-242.926511,-696.678898
-245.129838,-703.354599
-247.629134,-710.424921
-250.029774,-717.988519
-252.167331,-724.762871
-254.436429,-731.208371
-256.738412,-738.640424
-259.402136,-744.691299
-261.506806,-752.846824
-264.071873,-759.555400
-266.209429,-766.066663
-268.642954,-774.057757
-271.010708,-779.911315
-273.411348,-787.442015
-274.825423,-795.531760
-271.997272,-788.099717
-269.070465,-780.305937
-266.604055,-773.104088
-264.038988,-763.238539
-261.177951,-756.661504
-258.382686,-748.604636
-255.850504,-739.462554
-253.121009,-733.214368
-250.523057,-723.842086
-247.957989,-715.653669
-245.228494,-709.734331
-242.597656,-700.362044
-240.361443,-692.732671
-237.664833,-686.188510
-235.198422,-676.816217
-232.436041,-669.219725
-229.969630,-662.478249
-227.700532,-653.303262
-225.069693,-647.252374
-222.307312,-639.392794
-219.742244,-630.579541
-217.111405,-624.462879
-214.842306,-616.077131
-212.211467,-607.822922
