Apr 28, 2026  10:32:35 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.10,   3.35E-009, 
 20.20,   2.93E-009, 
 20.30,   2.01E-009, 
 20.40,   1.06E-009, 
 20.50,   5.30E-010, 
 20.60,   5.22E-010, 
 20.70,   3.72E-010, 
 20.80,   2.10E-010, 
 20.90,   2.74E-010, 
 21.00,  -4.50E-012, 
 21.10,  -5.85E-011, 
 21.20,   1.47E-010, 
 21.30,   2.68E-010, 
 21.40,   1.05E-010, 
 21.50,   2.88E-010, 
 21.60,   2.40E-010, 
 21.70,   4.13E-010, 
 21.80,   3.23E-010, 
 21.90,   3.07E-010, 
 22.00,   3.24E-010, 
 22.10,   1.71E-010, 
 22.20,   3.00E-010, 
 22.30,   2.69E-010, 
 22.40,   1.42E-010, 
 22.50,  -6.43E-012, 
 22.60,   4.50E-011, 
 22.70,  -1.03E-011, 
 22.80,  -1.36E-010, 
 22.90,  -8.42E-011, 
 23.00,  -1.86E-010, 
 23.10,  -2.58E-010, 
 23.20,  -2.64E-010, 
 23.30,  -1.97E-010, 
 23.40,  -1.57E-010, 
 23.50,  -1.75E-010, 
 23.60,  -1.75E-010, 
 23.70,  -3.28E-011, 
 23.80,   6.43E-011, 
 23.90,   2.53E-010, 
 24.00,   3.30E-010, 
 24.10,   1.52E-010, 
 24.20,   6.43E-013, 
 24.30,  -1.06E-010, 
 24.40,  -2.25E-010, 
 24.50,  -2.92E-010, 
 24.60,  -1.63E-010, 
 24.70,   2.29E-010, 
 24.80,   3.43E-010, 
 24.90,   5.22E-010, 
 25.00,   5.73E-010, 
 25.10,   3.72E-010, 
 25.20,   5.03E-010, 
 25.30,   1.77E-010, 
 25.40,   1.41E-010, 
 25.50,   1.03E-010, 
 25.60,   6.34E-010, 
 25.70,   1.58E-009, 
 25.80,   2.57E-009, 
 25.90,   3.24E-009, 
 26.00,   3.55E-009, 
 26.10,   3.69E-009, 
 26.20,   3.47E-009, 
 26.30,   2.11E-009, 
 26.40,   1.28E-009, 
 26.50,   6.84E-010, 
 26.60,   8.10E-010, 
 26.70,   2.84E-009, 
 26.80,   4.92E-009, 
 26.90,   6.60E-009, 
 27.00,   7.72E-009, 
 27.10,   8.34E-009, 
 27.20,   9.04E-009, 
 27.30,   9.32E-009, 
 27.40,   1.33E-008, 
 27.50,   3.03E-008, 
 27.60,   1.63E-007, 
 27.70,   4.59E-007, 
 27.80,   6.16E-007, 
 27.90,   6.39E-007, 
 28.00,   6.24E-007, 
 28.10,   5.47E-007, 
 28.20,   3.78E-007, 
 28.30,   8.13E-008, 
 28.40,   2.33E-008, 
 28.50,   1.08E-008, 
 28.60,   8.23E-009, 
 28.70,   1.13E-008, 
 28.80,   1.54E-008, 
 28.90,   1.81E-008, 
 29.00,   1.92E-008, 
 29.10,   1.88E-008, 
 29.20,   1.62E-008, 
 29.30,   9.46E-009, 
 29.40,   5.98E-009, 
 29.50,   5.95E-009, 
 29.60,   1.69E-008, 
 29.70,   4.60E-008, 
 29.80,   7.27E-008, 
 29.90,   8.54E-008, 
 30.00,   8.62E-008, 
 30.10,   7.93E-008, 
 30.20,   6.06E-008, 
 30.30,   2.45E-008, 
 30.40,   9.48E-009, 
 30.50,   4.68E-009, 
 30.60,   2.88E-009, 
 30.70,   2.46E-009, 
 30.80,   2.65E-009, 
 30.90,   3.04E-009, 
 31.00,   2.92E-009, 
 31.10,   3.23E-009, 
 31.20,   3.28E-009, 
 31.30,   2.78E-009, 
 31.40,   3.36E-009, 
 31.50,   6.19E-009, 
 31.60,   2.35E-008, 
 31.70,   6.74E-008, 
 31.80,   1.07E-007, 
 31.90,   1.21E-007, 
 32.00,   1.22E-007, 
 32.10,   1.10E-007, 
 32.20,   7.93E-008, 
 32.30,   2.92E-008, 
 32.40,   1.13E-008, 
 32.50,   5.51E-009, 
 32.60,   3.10E-009, 
 32.70,   1.95E-009, 
 32.80,   1.16E-009, 
 32.90,   8.64E-010, 
 33.00,   5.49E-010, 
 33.10,   6.11E-010, 
 33.20,   4.67E-010, 
 33.30,   3.53E-010, 
 33.40,   2.63E-010, 
 33.50,   2.70E-010, 
 33.60,   1.16E-010, 
 33.70,   1.67E-010, 
 33.80,   4.74E-010, 
 33.90,   4.06E-010, 
 34.00,   5.42E-010, 
 34.10,   5.72E-010, 
 34.20,   3.21E-010, 
 34.30,   3.26E-010, 
 34.40,   2.27E-010, 
 34.50,   4.47E-010, 
 34.60,   8.89E-010, 
 34.70,   1.93E-009, 
 34.80,   2.79E-009, 
 34.90,   3.51E-009, 
 35.00,   3.62E-009, 
 35.10,   3.46E-009, 
 35.20,   2.94E-009, 
 35.30,   1.72E-009, 
 35.40,   1.18E-009, 
 35.50,   1.13E-009, 
 35.60,   3.35E-009, 
 35.70,   7.39E-009, 
 35.80,   1.18E-008, 
 35.90,   1.44E-008, 
 36.00,   1.58E-008, 
 36.10,   1.51E-008, 
 36.20,   1.11E-008, 
 36.30,   5.51E-009, 
 36.40,   2.58E-009, 
 36.50,   1.30E-009, 
 36.60,   1.10E-009, 
 36.70,   1.32E-009, 
 36.80,   1.42E-009, 
 36.90,   1.54E-009, 
 37.00,   1.71E-009, 
 37.10,   1.59E-009, 
 37.20,   1.37E-009, 
 37.30,   6.39E-010, 
 37.40,   3.63E-010, 
 37.50,   4.11E-010, 
 37.60,   1.05E-009, 
 37.70,   2.55E-009, 
 37.80,   3.96E-009, 
 37.90,   4.94E-009, 
 38.00,   5.72E-009, 
 38.10,   5.57E-009, 
 38.20,   4.46E-009, 
 38.30,   2.17E-009, 
 38.40,   1.17E-009, 
 38.50,   6.05E-010, 
 38.60,   5.13E-010, 
 38.70,   1.16E-009, 
 38.80,   1.84E-009, 
 38.90,   2.28E-009, 
 39.00,   2.89E-009, 
 39.10,   2.97E-009, 
 39.20,   2.48E-009, 
 39.30,   1.49E-009, 
 39.40,   1.20E-009, 
 39.50,   1.29E-009, 
 39.60,   3.45E-009, 
 39.70,   7.45E-009, 
 39.80,   1.15E-008, 
 39.90,   1.43E-008, 
 40.00,   1.60E-008, 
 40.10,   1.53E-008, 
 40.20,   1.07E-008, 
 40.30,   5.12E-009, 
 40.40,   2.81E-009, 
 40.50,   1.94E-009, 
 40.60,   3.15E-009, 
 40.70,   6.45E-009, 
 40.80,   1.01E-008, 
 40.90,   1.24E-008, 
 41.00,   1.40E-008, 
 41.10,   1.60E-008, 
 41.20,   1.55E-008, 
 41.30,   1.30E-008, 
 41.40,   1.21E-008, 
 41.50,   1.39E-008, 
 41.60,   2.28E-008, 
 41.70,   3.53E-008, 
 41.80,   4.58E-008, 
 41.90,   5.00E-008, 
 42.00,   5.32E-008, 
 42.10,   4.97E-008, 
 42.20,   3.11E-008, 
 42.30,   1.33E-008, 
 42.40,   6.29E-009, 
 42.50,   3.92E-009, 
 42.60,   5.82E-009, 
 42.70,   1.16E-008, 
 42.80,   1.82E-008, 
 42.90,   2.22E-008, 
 43.00,   2.44E-008, 
 43.10,   2.46E-008, 
 43.20,   1.91E-008, 
 43.30,   1.04E-008, 
 43.40,   6.62E-009, 
 43.50,   6.51E-009, 
 43.60,   1.47E-008, 
 43.70,   4.37E-008, 
 43.80,   7.58E-008, 
 43.90,   9.14E-008, 
 44.00,   1.00E-007, 
 44.10,   9.62E-008, 
 44.20,   6.60E-008, 
 44.30,   2.52E-008, 
 44.40,   1.01E-008, 
 44.50,   4.87E-009, 
 44.60,   2.99E-009, 
 44.70,   2.70E-009, 
 44.80,   3.00E-009, 
 44.90,   3.38E-009, 
 45.00,   3.73E-009, 
 45.10,   3.77E-009, 
 45.20,   3.48E-009, 
 45.30,   2.31E-009, 
 45.40,   1.32E-009, 
 45.50,   8.82E-010, 
 45.60,   5.69E-010, 
 45.70,   3.33E-010, 
 45.80,   4.64E-010, 
 45.90,   7.53E-010, 
 46.00,   8.48E-010, 
 46.10,   6.64E-010, 
 46.20,   6.31E-010, 
 46.30,   3.59E-010, 
 46.40,   4.25E-010, 
 46.50,   3.85E-010, 
 46.60,   5.26E-010, 
 46.70,   9.91E-010, 
 46.80,   1.00E-009, 
 46.90,   1.45E-009, 
 47.00,   1.85E-009, 
 47.10,   1.93E-009, 
 47.20,   1.63E-009, 
 47.30,   9.45E-010, 
 47.40,   2.51E-010, 
 47.50,  -1.00E-010, 
 47.60,   8.23E-011, 
