Distance_(pixels),Gray_Value
0,16
1,17
2,20
3,27
4,45
5,59
6,55
7,42
8,26
9,20
10,18
11,16
12,17
13,16
14,16
15,16
16,16
17,16
18,16
19,16
20,16
21,17
22,16
23,16
24,16
25,16
26,16
27,17
28,21
29,19
30,25
31,43
32,62
33,73
34,60
35,41
36,29
37,24
38,21
39,18
40,18
41,18
42,17
43,16
44,16
45,16
46,16
47,18
48,16
49,17
50,16
51,17
52,16
53,16
54,16
55,16
56,16
57,16
58,16
59,17
60,18
61,19
62,19
63,28
64,36
65,55
66,70
67,73
68,64
69,45
70,33
71,27
72,24
73,21
74,19
75,21
76,19
77,23
78,19
79,21
80,18
81,21
82,23
83,22
84,23
85,19
86,20
87,22
88,20
89,19
90,17
91,19
92,18
93,18
94,19
95,19
96,20
97,16
98,19
99,17
100,19
101,17
102,19
103,22
104,17
105,21
106,20
107,23
108,23
109,26
110,30
111,35
112,45
113,55
114,70
115,79
116,82
117,78
118,73
119,65
120,54
121,47
122,42
123,38
124,37
125,34
126,36
127,30
128,30
129,31
130,32
131,31
132,31
133,31
134,28
135,29
136,24
137,26
138,27
139,23
140,24
141,23
142,24
143,22
144,21
145,24
146,21
147,23
148,20
149,22
150,22
151,20
152,23
153,19
154,20
155,17
156,21
157,20
158,19
159,21
160,18
161,22
162,18
163,21
164,20
165,21
166,21
167,20
168,20
169,20
170,20
171,18
172,17
173,19
174,19
175,22
176,20
177,20
178,23
179,20
180,22
181,21
182,25
183,23
184,23
185,21
186,22
187,23
188,24
189,24
190,25
191,25
192,26
193,23
194,25
195,26
196,26
197,21
198,24
199,23
200,24
201,25
202,23
203,25
204,22
205,22
206,24
207,22
208,21
209,21
210,23
211,21
212,24
213,23
214,23
215,24
216,21
217,23
218,22
219,22
220,22
221,21
222,24
223,23
224,26
225,24
226,25
227,25
228,26
229,28
230,26
231,29
232,31
233,32
234,35
235,39
236,46
237,53
238,60
239,66
240,76
241,81
242,82
243,79
244,69
245,60
246,48
247,43
248,38
249,33
250,32
251,28
252,28
253,25
254,24
255,22
256,22
257,24
258,23
259,24
260,23
261,24
262,21
263,22
264,24
265,21
266,21
267,21
268,24
269,21
270,22
271,25
272,21
273,21
274,21
275,21
276,22
277,22
278,25
279,22
280,23
281,21
282,24
283,24
284,26
285,28
286,30
287,34
288,41
289,52
290,66
291,72
292,73
293,58
294,49
295,36
296,33
297,28
298,26
299,25
300,24
301,27
302,23
303,25
304,24
305,22
306,23
307,22
308,25
309,21
310,22
311,23
312,23
313,23
314,22
315,23
316,22
317,25
318,25
319,25
320,28
321,32
322,42
323,50
324,62
325,64
326,57
327,46
328,35
329,30
330,28
331,25
332,24
333,24
334,26
335,23
336,24
337,23
338,25
339,24
340,22
341,24
342,22
343,23
344,21
345,24
346,24
347,27
348,28
349,31
350,40
351,52
352,58
353,55
354,41
355,32
356,26
357,26
358,23
359,23
360,21
361,19
362,22
363,20
364,21
