Apr 28, 2026  12:06:07 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.20,   2.10E-007, 
 20.30,   2.84E-008, 
 20.40,   1.17E-008, 
 20.50,   7.68E-009, 
 20.60,   7.11E-009, 
 20.70,   8.03E-009, 
 20.80,   7.92E-009, 
 20.90,   7.99E-009, 
 21.00,   8.19E-009, 
 21.10,   8.16E-009, 
 21.20,   6.67E-009, 
 21.30,   3.62E-009, 
 21.40,   2.00E-009, 
 21.50,   1.31E-009, 
 21.60,   1.28E-009, 
 21.70,   1.78E-009, 
 21.80,   2.00E-009, 
 21.90,   2.30E-009, 
 22.00,   2.39E-009, 
 22.10,   2.38E-009, 
 22.20,   1.77E-009, 
 22.30,   9.77E-010, 
 22.40,   4.13E-010, 
 22.50,   7.65E-011, 
 22.60,  -9.90E-011, 
 22.70,  -1.63E-010, 
 22.80,  -2.02E-010, 
 22.90,  -2.80E-010, 
 23.00,  -2.80E-010, 
 23.10,  -9.19E-011, 
 23.20,   1.28E-010, 
 23.30,   4.10E-010, 
 23.40,   1.09E-009, 
 23.50,   3.23E-009, 
 23.60,   1.39E-008, 
 23.70,   3.13E-008, 
 23.80,   3.91E-008, 
 23.90,   4.48E-008, 
 24.00,   4.33E-008, 
 24.10,   4.14E-008, 
 24.20,   2.36E-008, 
 24.30,   1.11E-008, 
 24.40,   9.83E-009, 
 24.50,   1.80E-008, 
 24.60,   8.87E-008, 
 24.70,   1.63E-007, 
 24.80,   1.81E-007, 
 24.90,   1.99E-007, 
 25.00,   1.88E-007, 
 25.10,   1.74E-007, 
 25.20,   6.90E-008, 
 25.30,   2.60E-008, 
 25.40,   3.56E-008, 
 25.50,   1.13E-007, 
 25.60,   4.97E-007, 
 25.70,   7.58E-007, 
 25.80,   8.16E-007, 
 25.90,   9.01E-007, 
 26.00,   8.28E-007, 
 26.10,   7.74E-007, 
 26.20,   2.58E-007, 
 26.30,   4.87E-008, 
 26.40,   7.27E-008, 
 26.50,   2.00E-007, 
 26.60,   8.80E-007, 
 26.70,   1.48E-006, 
 26.80,   1.64E-006, 
 26.90,   1.84E-006, 
 27.00,   1.69E-006, 
 27.10,   1.60E-006, 
 27.20,   5.54E-007, 
 27.30,   1.93E-007, 
 27.40,   4.12E-007, 
 27.50,   1.47E-006, 
 27.60,   5.28E-006, 
 27.70,   7.10E-006, 
 27.80,   7.74E-006, 
 27.90,   8.27E-006, 
 28.00,   7.70E-006, 
 28.10,   6.28E-006, 
 28.20,   9.82E-007, 
 28.30,   6.51E-008, 
 28.40,   5.59E-008, 
 28.50,   1.53E-007, 
 28.60,   6.27E-007, 
 28.70,   9.99E-007, 
 28.80,   1.12E-006, 
 28.90,   1.24E-006, 
 29.00,   1.16E-006, 
 29.10,   1.01E-006, 
 29.20,   2.87E-007, 
 29.30,   2.97E-008, 
 29.40,   1.40E-008, 
 29.50,   1.57E-008, 
 29.60,   5.55E-008, 
 29.70,   1.07E-007, 
 29.80,   1.24E-007, 
 29.90,   1.39E-007, 
 30.00,   1.31E-007, 
 30.10,   1.15E-007, 
 30.20,   4.39E-008, 
 30.30,   1.44E-008, 
 30.40,   1.05E-008, 
 30.50,   1.61E-008, 
 30.60,   7.11E-008, 
 30.70,   1.36E-007, 
 30.80,   1.55E-007, 
 30.90,   1.74E-007, 
 31.00,   1.64E-007, 
 31.10,   1.45E-007, 
 31.20,   5.30E-008, 
 31.30,   1.99E-008, 
 31.40,   2.22E-008, 
 31.50,   6.54E-008, 
 31.60,   2.74E-007, 
 31.70,   3.55E-007, 
 31.80,   3.97E-007, 
 31.90,   4.11E-007, 
 32.00,   4.02E-007, 
 32.10,   2.92E-007, 
 32.20,   6.34E-008, 
 32.30,   1.39E-008, 
 32.40,   6.43E-009, 
 32.50,   3.87E-009, 
 32.60,   3.57E-009, 
 32.70,   4.70E-009, 
 32.80,   5.74E-009, 
 32.90,   6.74E-009, 
 33.00,   7.01E-009, 
 33.10,   6.89E-009, 
 33.20,   5.04E-009, 
 33.30,   2.71E-009, 
 33.40,   1.62E-009, 
 33.50,   1.21E-009, 
 33.60,   1.43E-009, 
 33.70,   2.37E-009, 
 33.80,   3.74E-009, 
 33.90,   6.25E-009, 
 34.00,   9.79E-009, 
 34.10,   1.53E-008, 
 34.20,   2.55E-008, 
 34.30,   5.12E-008, 
 34.40,   1.22E-007, 
 34.50,   4.80E-007, 
 34.60,   1.10E-006, 
 34.70,   1.32E-006, 
 34.80,   1.53E-006, 
 34.90,   1.48E-006, 
 35.00,   1.44E-006, 
 35.10,   6.64E-007, 
 35.20,   1.08E-007, 
 35.30,   1.47E-007, 
 35.40,   3.09E-007, 
 35.50,   1.29E-006, 
 35.60,   3.23E-006, 
 35.70,   3.71E-006, 
 35.80,   4.33E-006, 
 35.90,   4.19E-006, 
 36.00,   4.19E-006, 
 36.10,   2.01E-006, 
 36.20,   1.37E-007, 
 36.30,   5.85E-008, 
 36.40,   1.02E-007, 
 36.50,   3.73E-007, 
 36.60,   1.02E-006, 
 36.70,   1.28E-006, 
 36.80,   1.50E-006, 
 36.90,   1.51E-006, 
 37.00,   1.49E-006, 
 37.10,   8.66E-007, 
 37.20,   1.44E-007, 
 37.30,   7.52E-008, 
 37.40,   1.45E-007, 
 37.50,   5.20E-007, 
 37.60,   1.53E-006, 
 37.70,   1.91E-006, 
 37.80,   2.24E-006, 
 37.90,   2.26E-006, 
 38.00,   2.27E-006, 
 38.10,   1.29E-006, 
 38.20,   1.94E-007, 
 38.30,   9.00E-008, 
 38.40,   1.66E-007, 
 38.50,   4.27E-007, 
 38.60,   1.70E-006, 
 38.70,   2.48E-006, 
 38.80,   2.89E-006, 
 38.90,   3.11E-006, 
 39.00,   3.14E-006, 
 39.10,   2.22E-006, 
 39.20,   4.15E-007, 
 39.30,   7.90E-008, 
 39.40,   1.23E-007, 
 39.50,   3.02E-007, 
 39.60,   1.28E-006, 
 39.70,   1.94E-006, 
 39.80,   2.27E-006, 
 39.90,   2.48E-006, 
 40.00,   2.49E-006, 
 40.10,   1.87E-006, 
 40.20,   3.97E-007, 
 40.30,   7.10E-008, 
 40.40,   1.04E-007, 
 40.50,   2.51E-007, 
 40.60,   1.01E-006, 
 40.70,   1.61E-006, 
 40.80,   1.91E-006, 
 40.90,   2.13E-006, 
 41.00,   2.13E-006, 
 41.10,   1.62E-006, 
 41.20,   3.90E-007, 
 41.30,   1.08E-007, 
 41.40,   1.45E-007, 
 41.50,   3.01E-007, 
 41.60,   9.83E-007, 
 41.70,   1.44E-006, 
 41.80,   1.74E-006, 
 41.90,   1.88E-006, 
 42.00,   1.96E-006, 
 42.10,   1.43E-006, 
 42.20,   4.85E-007, 
 42.30,   4.92E-007, 
 42.40,   8.65E-007, 
 42.50,   2.11E-006, 
 42.60,   7.31E-006, 
 42.70,   1.05E-005, 
 42.80,   1.28E-005, 
 42.90,   1.37E-005, 
 43.00,   1.39E-005, 
 43.10,   9.06E-006, 
 43.20,   1.22E-006, 
 43.30,   6.88E-008, 
 43.40,   4.35E-008, 
 43.50,   8.40E-008, 
 43.60,   3.15E-007, 
 43.70,   4.43E-007, 
 43.80,   5.54E-007, 
 43.90,   5.62E-007, 
 44.00,   5.73E-007, 
 44.10,   3.34E-007, 
 44.20,   7.16E-008, 
 44.30,   1.82E-008, 
 44.40,   1.35E-008, 
 44.50,   1.89E-008, 
 44.60,   8.06E-008, 
 44.70,   1.56E-007, 
 44.80,   1.94E-007, 
 44.90,   2.06E-007, 
 45.00,   2.10E-007, 
 45.10,   1.49E-007, 
 45.20,   4.57E-008, 
 45.30,   1.38E-008, 
 45.40,   8.48E-009, 
 45.50,   8.48E-009, 
 45.60,   1.52E-008, 
 45.70,   3.30E-008, 
 45.80,   5.00E-008, 
 45.90,   6.80E-008, 
 46.00,   7.93E-008, 
 46.10,   8.46E-008, 
 46.20,   8.23E-008, 
 46.30,   1.22E-007, 
 46.40,   2.22E-007, 
 46.50,   7.88E-007, 
 46.60,   1.87E-006, 
 46.70,   2.35E-006, 
 46.80,   2.82E-006, 
 46.90,   2.76E-006, 
 47.00,   2.42E-006, 
 47.10,   7.66E-007, 
 47.20,   7.66E-008, 
 47.30,   5.04E-008, 
 47.40,   8.35E-008, 
 47.50,   3.00E-007, 
 47.60,   7.67E-007, 
 47.70,   9.74E-007, 
 47.80,   1.19E-006, 
 47.90,   1.16E-006, 
 48.00,   1.04E-006, 
 48.10,   3.76E-007, 
 48.20,   5.68E-008, 
 48.30,   3.98E-008, 
 48.40,   6.26E-008, 
 48.50,   2.27E-007, 
 48.60,   5.79E-007, 
 48.70,   7.42E-007, 
 48.80,   8.91E-007, 
 48.90,   8.83E-007, 
 49.00,   7.58E-007, 
 49.10,   2.67E-007, 
 49.20,   4.06E-008, 
 49.30,   2.24E-008, 
 49.40,   2.77E-008, 
 49.50,   8.68E-008, 
 49.60,   2.76E-007, 
 49.70,   3.61E-007, 
 49.80,   4.40E-007, 
 49.90,   4.27E-007, 
 50.00,   3.93E-007, 
 50.10,   1.65E-007, 
 50.20,   3.09E-008, 
 50.30,   1.15E-008, 
 50.40,   7.64E-009, 
 50.50,   8.19E-009, 
 50.60,   2.03E-008, 
 50.70,   4.16E-008, 
 50.80,   6.04E-008, 
 50.90,   6.68E-008, 
 51.00,   6.83E-008, 
 51.10,   4.58E-008, 
 51.20,   1.95E-008, 
 51.30,   8.75E-009, 
 51.40,   5.62E-009, 
 51.50,   5.91E-009, 
 51.60,   1.41E-008, 
 51.70,   2.82E-008, 
 51.80,   4.11E-008, 
 51.90,   4.60E-008, 
 52.00,   4.76E-008, 
 52.10,   3.38E-008, 
 52.20,   1.64E-008, 
 52.30,   9.02E-009, 
 52.40,   7.74E-009, 
 52.50,   1.09E-008, 
 52.60,   3.74E-008, 
 52.70,   8.72E-008, 
 52.80,   1.21E-007, 
 52.90,   1.30E-007, 
 53.00,   1.33E-007, 
 53.10,   8.60E-008, 
 53.20,   3.06E-008, 
 53.30,   1.25E-008, 
 53.40,   9.25E-009, 
 53.50,   1.13E-008, 
 53.60,   3.45E-008, 
 53.70,   9.22E-008, 
 53.80,   1.30E-007, 
 53.90,   1.47E-007, 
 54.00,   1.51E-007, 
 54.10,   1.18E-007, 
 54.20,   5.22E-008, 
 54.30,   2.69E-008, 
 54.40,   3.23E-008, 
 54.50,   6.03E-008, 
 54.60,   2.60E-007, 
 54.70,   5.51E-007, 
 54.80,   7.27E-007, 
 54.90,   8.13E-007, 
 55.00,   8.18E-007, 
 55.10,   5.77E-007, 
 55.20,   1.99E-007, 
 55.30,   6.57E-008, 
 55.40,   9.27E-008, 
 55.50,   1.73E-007, 
 55.60,   6.93E-007, 
 55.70,   1.57E-006, 
 55.80,   2.06E-006, 
 55.90,   2.35E-006, 
 56.00,   2.30E-006, 
 56.10,   1.62E-006, 
 56.20,   4.62E-007, 
 56.30,   4.02E-008, 
 56.40,   1.86E-008, 
 56.50,   2.04E-008, 
 56.60,   6.11E-008, 
 56.70,   1.50E-007, 
 56.80,   2.02E-007, 
 56.90,   2.30E-007, 
 57.00,   2.44E-007, 
 57.10,   1.96E-007, 
 57.20,   1.13E-007, 
 57.30,   1.12E-007, 
 57.40,   1.85E-007, 
 57.50,   3.67E-007, 
 57.60,   1.54E-006, 
 57.70,   2.83E-006, 
 57.80,   3.76E-006, 
 57.90,   3.88E-006, 
 58.00,   3.87E-006, 
 58.10,   2.17E-006, 
 58.20,   4.07E-007, 
 58.30,   3.73E-008, 
 58.40,   2.28E-008, 
 58.50,   2.39E-008, 
 58.60,   6.34E-008, 
 58.70,   1.45E-007, 
 58.80,   2.00E-007, 
 58.90,   2.12E-007, 
 59.00,   2.17E-007, 
 59.10,   1.40E-007, 
 59.20,   4.99E-008, 
 59.30,   1.77E-008, 
 59.40,   1.21E-008, 
 59.50,   1.02E-008, 
 59.60,   1.03E-008, 
 59.70,   1.40E-008, 
 59.80,   1.92E-008, 
 59.90,   2.34E-008, 
 60.00,   2.45E-008, 
 60.10,   2.07E-008, 
 60.20,   1.30E-008, 
 60.30,   8.08E-009, 
 60.40,   6.59E-009, 
 60.50,   6.83E-009, 
 60.60,   1.35E-008, 
 60.70,   2.95E-008, 
 60.80,   4.60E-008, 
 60.90,   5.31E-008, 
 61.00,   5.31E-008, 
 61.10,   3.61E-008, 
 61.20,   1.69E-008, 
 61.30,   7.34E-009, 
 61.40,   4.09E-009, 
 61.50,   2.87E-009, 
 61.60,   3.40E-009, 
 61.70,   5.75E-009, 
 61.80,   8.79E-009, 
 61.90,   1.14E-008, 
 62.00,   1.24E-008, 
 62.10,   1.04E-008, 
 62.20,   6.42E-009, 
 62.30,   3.54E-009, 
 62.40,   2.26E-009, 
 62.50,   2.14E-009, 
 62.60,   4.12E-009, 
 62.70,   8.01E-009, 
 62.80,   1.21E-008, 
 62.90,   1.49E-008, 
 63.00,   1.53E-008, 
 63.10,   1.16E-008, 
 63.20,   6.42E-009, 
 63.30,   3.24E-009, 
 63.40,   1.75E-009, 
 63.50,   1.13E-009, 
 63.60,   1.30E-009, 
 63.70,   2.07E-009, 
 63.80,   3.13E-009, 
 63.90,   3.98E-009, 
 64.00,   4.23E-009, 
 64.10,   3.52E-009, 
 64.20,   2.27E-009, 
 64.30,   1.39E-009, 
 64.40,   1.13E-009, 
 64.50,   1.27E-009, 
 64.60,   2.59E-009, 
 64.70,   5.91E-009, 
 64.80,   9.96E-009, 
 64.90,   1.29E-008, 
 65.00,   1.39E-008, 
 65.10,   1.11E-008, 
 65.20,   6.29E-009, 
 65.30,   3.32E-009, 
 65.40,   1.92E-009, 
 65.50,   1.33E-009, 
 65.60,   1.45E-009, 
 65.70,   2.30E-009, 
 65.80,   3.51E-009, 
 65.90,   4.63E-009, 
 66.00,   5.42E-009, 
 66.10,   5.03E-009, 
 66.20,   3.56E-009, 
 66.30,   2.52E-009, 
 66.40,   2.29E-009, 
 66.50,   3.05E-009, 
 66.60,   7.86E-009, 
 66.70,   2.31E-008, 
 66.80,   4.12E-008, 
 66.90,   5.28E-008, 
 67.00,   5.57E-008, 
 67.10,   3.97E-008, 
 67.20,   2.00E-008, 
 67.30,   8.58E-009, 
 67.40,   5.21E-009, 
 67.50,   4.42E-009, 
 67.60,   7.03E-009, 
 67.70,   1.72E-008, 
 67.80,   3.00E-008, 
 67.90,   3.92E-008, 
 68.00,   4.31E-008, 
 68.10,   3.62E-008, 
 68.20,   2.34E-008, 
 68.30,   1.57E-008, 
 68.40,   1.77E-008, 
 68.50,   2.71E-008, 
 68.60,   9.79E-008, 
 68.70,   3.01E-007, 
 68.80,   4.27E-007, 
 68.90,   4.98E-007, 
 69.00,   5.07E-007, 
 69.10,   3.19E-007, 
 69.20,   1.20E-007, 
 69.30,   2.18E-008, 
 69.40,   1.12E-008, 
 69.50,   1.24E-008, 
 69.60,   2.65E-008, 
 69.70,   5.78E-008, 
 69.80,   8.21E-008, 
 69.90,   9.17E-008, 
 70.00,   7.74E-008, 
 70.10,   4.41E-008, 
 70.20,   2.09E-008, 
 70.30,   8.51E-009, 
 70.40,   4.22E-009, 
 70.50,   2.55E-009, 
 70.60,   2.00E-009, 
 70.70,   2.12E-009, 
 70.80,   2.66E-009, 
 70.90,   3.15E-009, 
 71.00,   3.33E-009, 
 71.10,   2.95E-009, 
 71.20,   2.20E-009, 
 71.30,   1.67E-009, 
 71.40,   1.69E-009, 
 71.50,   3.37E-009, 
 71.60,   8.31E-009, 
 71.70,   1.49E-008, 
 71.80,   2.00E-008, 
 71.90,   2.24E-008, 
 72.00,   1.71E-008, 
 72.10,   9.56E-009, 
 72.20,   4.60E-009, 
 72.30,   2.54E-009, 
 72.40,   1.57E-009, 
 72.50,   1.30E-009, 
 72.60,   2.15E-009, 
 72.70,   4.66E-009, 
 72.80,   8.00E-009, 
 72.90,   1.06E-008, 
 73.00,   1.16E-008, 
 73.10,   9.19E-009, 
 73.20,   5.37E-009, 
 73.30,   2.70E-009, 
 73.40,   1.65E-009, 
 73.50,   1.41E-009, 
 73.60,   2.23E-009, 
 73.70,   3.82E-009, 
 73.80,   5.60E-009, 
 73.90,   6.88E-009, 
 74.00,   6.45E-009, 
 74.10,   4.50E-009, 
 74.20,   2.47E-009, 
 74.30,   1.34E-009, 
 74.40,   7.62E-010, 
 74.50,   5.01E-010, 
 74.60,   5.40E-010, 
 74.70,   8.64E-010, 
 74.80,   1.38E-009, 
 74.90,   1.77E-009, 
 75.00,   1.87E-009, 
 75.10,   1.47E-009, 
 75.20,   8.68E-010, 
 75.30,   4.29E-010, 
 75.40,   2.06E-010, 
 75.50,   2.29E-010, 
 75.60,   6.14E-010, 
 75.70,   1.44E-009, 
 75.80,   2.57E-009, 
 75.90,   3.48E-009, 
 76.00,   3.85E-009, 
 76.10,   3.02E-009, 
 76.20,   1.85E-009, 
 76.30,   1.04E-009, 
 76.40,   6.18E-010, 
 76.50,   6.84E-010, 
 76.60,   1.45E-009, 
 76.70,   3.96E-009, 
 76.80,   7.70E-009, 
 76.90,   1.08E-008, 
